和名,Phylum,Class,Order,Family,Scientific_name
ズワイガニ,Arthropoda,Malacostraca,Decapoda,Majidae ,"Chionoecetes opilio (O. Fabricius, 1788)"
ベニズワイガニ,Arthropoda,Malacostraca,Decapoda,Majidae ,"Chionoecetes japonicus Rathbun, 1932"
ガザミ,Arthropoda,Malacostraca,Decapoda,Portunidae,"Portunus trituberculatus (Miers, 1876)"
タイワンガザミ,Arthropoda,Malacostraca,Decapoda,Portunidae,"Portunus pelagicus (Linnaeus, 1758)"
ケガニ,Arthropoda,Malacostraca,Decapoda,Atelecyclidae,"Erimacrus isenbeckii (Brandt, 1848)"
ヒラツメガニ,Arthropoda,Malacostraca,Decapoda,Ovalipidae,"Ovalipes punctatus (de Haan, 1833)"
ホッコクアカエビ,Arthropoda,Malacostraca,Decapoda,Pandalidae,"Pandalus eous Makarov, 1935"
クマエビ,Arthropoda,Malacostraca,Decapoda,Penaeidae,"Penaeus semisulcatus De Haan, 1844"
クルマエビ,Arthropoda,Malacostraca,Decapoda,Penaeidae,"Marsupenaeus japonicus (Spence Bate, 1888)"
イセエビ,Arthropoda,Malacostraca,Decapoda,Palinuridae,"Panulirus japonicus (von Siebold, 1824)"
ウチワエビ,Arthropoda,Malacostraca,Decapoda,Scyllaridae,"Ibacus ciliatus (von Siebold, 1824)"
クロザコエビ,Arthropoda,Malacostraca,Decapoda,Crangonidae,"Argis lar (Owen, 1839)"
サルエビ,Arthropoda,Malacostraca,Decapoda,Penaeidae,"Trachypenaeus curvirostris (Stimpson, 1860)"
トゲザコエビ,Arthropoda,Malacostraca,Decapoda,Crangonoidea,"Argis toyamaensis (Yokoya, 1933)"
ボタンエビ,Arthropoda,Malacostraca,Decapoda,Pandaloidea,"Pandalus nipponensis Yokoya, 1933"
モロトゲアカエビ,Arthropoda,Malacostraca,Decapoda,Pandalidae,"Pandalopsis japonica Balss, 1914"
ヨシエビ,Arthropoda,Malacostraca,Decapoda,Penaeidae,"Metapenaeus ensis (De Haan, 1844)"
アカエビ,Arthropoda,Malacostraca,Decapoda,Penaeidae,"Metapenaeopsis barbata (De Haan, 1844)"
シバエビ,Arthropoda,Malacostraca,Decapoda,Penaeidae,"Metapenaeus joyneri (Miers, 1880)"
シラエビ,Arthropoda,Malacostraca,Decapoda,Pasiphaeidae,"Pasiphaea japonica Omori, 1976"
トヤマエビ,Arthropoda,Malacostraca,Decapoda,Pandalidae,"Pandalus hypsinotus Brandt, 1851"
オオエンコウガニ,Arthropoda,Malacostraca,Decapoda,Geryonidae,Chaceon erytheiae
シャコ,Arthropoda,Malacostraca,Stomatopoda,Squillidae,"Oratosquilla oratoria (de Haan, 1844)"
ナンキョクオキアミ,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia superba
ツノナシオキアミ,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,"Euphausia pacifica Hansen, 1911"
スルメイカ,Mollusca,Cephalopoda,Teuthoidea,Ommastrephidae,"Todarodes pacificus Steenstrup, 1880"
ケンサキイカ,Mollusca,Cephalopoda,Teuthoidea,Loliginidae,"Uroteuthis edulis (Hoyle, 1885) "
ヤリイカ,Mollusca,Cephalopoda,Teuthoidea,Loliginidae,"Heterololigo bleekeri (Keferstein, 1866)"
コウイカ,Mollusca,Cephalopoda,Sepioidea,Sepiidae,"Sepia esculenta Hoyle, 1885"
アオリイカ,Mollusca,Cephalopoda,Teuthoidea,Loliginidae,"Sepioteuthis lessoniana Lesson, 1830"
ジンドウイカ,Mollusca,Cephalopoda,Teuthoidea,Loliginidae,"Loliolus japonica (Hoyle, 1885)"
ソデイカ,Mollusca,Cephalopoda,Teuthoidea,Thysanoteuthidae,"Thysanoteuthis rhombus Troschel, 1857"
マダコ,Mollusca,Cephalopoda,Octopoda,Octopodidae,"Octopus vulgaris Cuvier, 1797"
ミズダコ,Mollusca,Cephalopoda,Octopoda,Octopodidae,"Enteroctopus dofleini (Wuelker, 1910)"
ヤナギダコ,Mollusca,Cephalopoda,Octopoda,Octopodidae,"Paroctopus conispadiceus (Sasaki, 1917)"
イイダコ,Mollusca,Cephalopoda,Octopoda,Octopodidae,"Amphioctopus fangsiao (d'Orbigny, 1839)"
カミナリイカ,Mollusca,Cephalopoda,Sepioidea,Sepiidae,"Sepia lycidas Gray, 1849"
シリヤケイカ,Mollusca,Cephalopoda,Cephalopoda,Sepiidae,"Sepiella japonica Sasaki, 1929"
ホタルイカ,Mollusca,Cephalopoda,Teuthoidea,Enoploteuthidae,"Watasenia scintillans (Berry, 1911)"
アカガイ,Mollusca,Bivalvia,Arcoida,Arcidae,"Anadara broughtonii (Schrenck, 1867)"
ハマグリ,Mollusca,Bivalvia,Veneroida,Veneridae,"Meretrix lusoria (Röding, 1798)"
アサリ,Mollusca,Bivalvia,Veneroida,Veneridae,"Ruditapes philippinarum (Adams & Reeve, 1850)"
ウバガイ,Mollusca,Bivalvia,Veneroida,Mactridae,"Spisula sachalinensis (Schrenck, 1862)"
トリガイ,Mollusca,Bivalvia,Veneroida,Cardiidae,"Fulvia mutica (Reeve, 1844)"
エゾアワビ,Mollusca,Gastropoda,Vetigastropoda,Haliotidae,"Haliotis discus hannai Ino, 1952"
エゾボラモドキ,Mollusca,Gastropoda,Sorbeoconcha,Buccinidae,"Neptunea intersculpta (Sowerby III, 1899)"
エッチュウバイ,Mollusca,Gastropoda,Sorbeoconcha,Buccinidae,"Buccinum striatissimum Sowerby, 1899"
クロアワビ,Mollusca,Gastropoda,Vetigastropoda,Haliotidae,"Haliotis discus discus Reeve, 1846"
サザエ,Mollusca,Gastropoda,Vetigastropoda,Turbininae,"Turbo sazae Fukuda, 2017"
シライトマキバイ,Mollusca,Gastropoda,Sorbeoconcha,Buccinidae,"Buccinum isaotakii Kira, 1959"
トコブシ,Mollusca,Gastropoda,Vetigastropoda,Haliotidae,"Haliotis diversicolor aquatilis Reeve, 1846"
マダカアワビ,Mollusca,Gastropoda,Vetigastropoda,Haliotidae,"Haliotis madaka (Habe, 1979)"
メガイアワビ,Mollusca,Gastropoda,Vetigastropoda,Haliotidae,"Haliotis gigantea Gmelin, 1791"
アカイカ,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Ommastrephes bartramii
アルゼンチンマツイカ,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Illex argentinus
アメリカオオアカイカ,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Dosidicus gigas
マナマコ,Echinodermata,Holothuroidea,Aspidochirotida,Stichopodidae,"Apostichopus japonicus (Selenka, 1867)"
エゾバフンウニ,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,"Strongylocentrotus intermedius (A. Agassiz, 1864)"
キタムラサキウニ,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,"Mesocentrotus nudus (A. Agassiz, 1864)"
バフンウニ,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,"Hemicentrotus pulcherrimus (A. Agassiz, 1864)"
アカウニ,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,"Pseudocentrotus depressus (A. Agassiz, 1864)"
ムラサキウニ,Echinodermata,Echinoidea,Camarodonta,Echinometridae,"Heliocidaris crassispina (A. Agassiz, 1864)"
シラヒゲウニ,Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,"Tripneustes gratilla (Linnaeus, 1758)"
ミツイシコンブ,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,"Saccharina angustata (Kjellman) Lane, Mayes, Druehl et Saunders"
ガッガラコンブ,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,"Saccharina coriacea (Miyabe) Lane, Mayes, Druehl et Saunders"
マコンブ,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,"Saccharina japonica (Areschoug) Lane, Mayes, Druehl et Saunders"
オニコンブ,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,"Saccharina japonica (Areschoug) Lane, Mayes, Druehl et Saunders var. diabolica (Miyabe) Yotsukura, Kawashima, Kawai, Abe et Druehl"
リシリコンブ,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,"Saccharina japonica (Areschoug) Lane, Mayes, Druehl et Saunders var. ochotensis (Miyabe) Yotsukura, Kawashima, Kawai, Abe et Druehl"
ホソメコンブ,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,"Saccharina japonica (Areschoug) Lane, Mayes, Druehl et Saunders var. religiosa (Miyabe) Yotsukura, Kawashima, Kawai, Abe et Druehl"
ナガコンブ,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,"Saccharina longissima (Miyabe) Lane, Mayes, Druehl et Saunders"
ガゴメコンブ,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,"Saccharina sculpera (Miyabe) Lane, Mayes, Druehl et Saunders"
